type_of_graph,number_of_nodes,number_of_edges,time_Dijkstra_SP,nodesVisited_Dijkstra,time_A*,nodesVisited_A*
random,60000,120000,37.64,33478,27.513,22827
grid,80000,158920,0.048,70,0.022,25
random,10000,20000,5.502,8003,5.533,8003
grid,30000,58970,0.008,4,0.005,2
random,20000,40000,0.015,6,0.014,6
grid,60000,118940,0.022,18,0.013,8
random,60000,120000,38.905,34286,6.533,5844
grid,80000,158920,0.009,4,0.004,3
random,10000,20000,5.778,8003,5.018,8003
grid,30000,58970,0.007,3,0.005,2
random,20000,40000,0.014,6,0.013,6
grid,60000,118940,0.022,17,0.012,8
random,60000,120000,39.52,34388,5.421,6121
grid,80000,158920,0.008,4,0.004,3
random,10000,20000,3.781,5180,2.585,3735
grid,30000,58970,0.021,30,0.01,9
random,20000,40000,5.828,7638,2.26,3176
grid,60000,118940,0.018,14,0.01,9
random,60000,120000,47.591,47698,52.233,47698
grid,80000,158920,0.037,46,0.014,15
random,10000,20000,3.486,5125,2.41,3707
grid,30000,58970,0.023,30,0.011,10
random,20000,40000,5.809,7598,2.139,3166
grid,60000,118940,0.016,15,0.011,9
random,60000,120000,49.9,47698,46.612,47698
grid,80000,158920,0.015,9,0.006,5
random,10000,20000,3.116,4391,1.89,2699
grid,30000,58970,0.012,10,0.009,6
random,20000,40000,10.338,13995,8.091,10639
grid,60000,118940,0.016,11,0.018,22
random,60000,120000,49.689,48174,42.947,48174
grid,80000,158920,0.051,72,0.021,24
random,10000,20000,3.284,4331,1.908,2684
grid,30000,58970,0.013,11,0.006,3
random,20000,40000,11.498,14003,8.988,10596
grid,60000,118940,0.017,12,0.023,24
random,60000,120000,50.54,48174,41.529,48174
grid,80000,158920,0.047,62,0.027,19
random,10000,20000,0.796,1228,0.082,145
grid,30000,58970,0.018,24,0.008,8
random,20000,40000,0.848,1261,0.058,87
grid,60000,118940,0.034,42,0.025,27
random,60000,120000,0.059,4,0.083,4
grid,80000,158920,0.044,55,0.018,18
random,10000,20000,0.864,1206,0.079,141
grid,30000,58970,0.02,25,0.01,9
random,20000,40000,0.899,1275,0.068,88
grid,60000,118940,0.033,42,0.022,24
random,60000,120000,49.78,47925,39.74,47925
grid,80000,158920,0.042,61,0.03,43
random,10000,20000,0.015,1,0.007,1
grid,30000,58970,0.017,18,0.011,12
random,20000,40000,1.156,1598,0.568,806
grid,60000,118940,0.037,53,0.028,37
random,60000,120000,45.876,41567,33.674,31432
grid,80000,158920,0.003,1,0.001,1
random,10000,20000,1.747,2333,1.447,1864
grid,30000,58970,0.019,26,0.007,6
random,20000,40000,10.927,13948,6.149,8084
grid,60000,118940,0.012,7,0.009,5
random,60000,120000,49.791,41991,12.008,12222
grid,80000,158920,0.003,1,0.001,1
random,10000,20000,3.87,5510,0.58,939
grid,30000,58970,0.009,5,0.003,2
random,20000,40000,0.162,251,0.105,135
grid,60000,118940,0.028,27,0.019,18
random,60000,120000,19.786,17953,2.42,2365
grid,80000,158920,0.036,41,0.021,23
random,10000,20000,0.008,1,0.007,1
grid,30000,58970,0.019,19,0.014,13
random,20000,40000,13.555,16056,9.677,16056
grid,60000,118940,0.025,23,0.019,18
random,60000,120000,24.671,17890,2.404,2298
grid,80000,158920,0.039,43,0.024,29
random,10000,20000,2.369,3298,0.857,1313
grid,30000,58970,0.002,1,0.002,1
random,20000,40000,12.433,14965,12.068,14971
grid,60000,118940,0.026,25,0.011,9
random,60000,120000,42.545,33540,13.467,10892
grid,80000,158920,0.042,52,0.01,8
random,10000,20000,1.436,1875,1.236,1815
grid,30000,58970,0.009,6,0.007,4
random,20000,40000,12.522,15967,10.271,15967
grid,60000,118940,0.024,26,0.013,10
random,60000,120000,0.054,1,0.062,1
grid,80000,158920,0.056,52,0.01,8
random,10000,20000,0.017,1,0.007,1
grid,30000,58970,0.022,27,0.011,8
random,20000,40000,14.333,15854,12.14,15854
grid,60000,118940,0.039,55,0.021,21
random,60000,120000,40.185,36639,14.278,16572
grid,80000,158920,0.056,64,0.032,45
random,10000,20000,1.342,1876,0.66,897
grid,30000,58970,0.009,5,0.003,2
random,20000,40000,0.014,1,0.014,1
grid,60000,118940,0.04,54,0.031,19
random,60000,120000,39.657,36501,13.884,16630
grid,80000,158920,0.047,62,0.032,43
random,10000,20000,4.674,6727,3.442,5271
grid,30000,58970,0.009,6,0.006,4
random,20000,40000,2.976,3253,2.837,3253
grid,60000,118940,0.044,55,0.018,14
random,60000,120000,4.151,3935,1.997,1992
grid,80000,158920,0.015,7,0.006,4
random,10000,20000,5.439,7955,4.822,7955
grid,30000,58970,0.008,4,0.004,2
random,20000,40000,5.957,7169,3.05,4535
grid,60000,118940,0.026,26,0.014,15
random,60000,120000,43.684,40558,25.333,25950
grid,80000,158920,0.017,5,0.007,4
random,10000,20000,0.404,541,0.092,133
grid,30000,58970,0.017,22,0.013,13
random,20000,40000,6.361,8062,0.837,1290
grid,60000,118940,0.035,47,0.012,7
random,60000,120000,0.043,2,0.051,2
grid,80000,158920,0.023,20,0.014,13
random,10000,20000,0.371,551,0.116,193
grid,30000,58970,0.016,16,0.012,12
random,20000,40000,12.42,15833,9.968,15833
grid,60000,118940,0.037,47,0.03,36
random,60000,120000,29.812,25069,9.508,10646
grid,80000,158920,0.014,8,0.007,6
random,10000,20000,2.33,3170,2.292,3093
grid,30000,58970,0.018,23,0.011,9
random,20000,40000,11.877,15871,12.647,15871
grid,60000,118940,0.029,12,0.023,12
random,60000,120000,0.06,1,0.076,1
grid,80000,158920,0.033,33,0.017,10
random,10000,20000,2.323,3170,2.097,3105
grid,30000,58970,0.016,23,0.013,16
random,20000,40000,11.48,13467,7.412,9334
grid,60000,118940,0.007,4,0.002,2
random,60000,120000,56.054,47682,46.638,47682
grid,80000,158920,0.041,47,0.026,30
random,10000,20000,0.016,1,0.007,1
grid,30000,58970,0.021,26,0.015,18
random,20000,40000,1.352,1831,0.688,916
